PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,JAN_PH_SUELO,FEB_PH_SUELO,MAR_PH_SUELO,APR_PH_SUELO,MAY_PH_SUELO,JUN_PH_SUELO,JUL_PH_SUELO,AUG_PH_SUELO,SEP_PH_SUELO,OCT_PH_SUELO,NOV_PH_SUELO,DEC_PH_SUELO
T2M_MAX,2002,24.54,25.09,27.28,26.55,26.36,25.81,24.68,25.03,25.06,25.06,24.79,24.22,27.28,8.69,4.69,6.26,6.86,3.94,5.17,3.66,5.79,6.47,7.57,6.12,3.78
T2M_MAX,2003,24.68,25.62,29.82,29.24,28.47,25.66,25.64,25.74,26.16,25.94,25.16,24.02,29.82,4.35,7.24,6.28,7.86,5.05,6.18,5.82,4.41,5.6,8.24,6.65,3.28
T2M_MAX,2004,24.67,27.08,26.29,29.51,26.81,26.38,25.33,26.04,26.25,26.57,25.9,24.33,29.51,4.5,5.81,4.01,5.19,5.96,8.18,4.75,4.98,4.41,4.82,7.57,6.42
T2M_MAX,2005,25.36,25.95,26.42,27.34,27.64,26.92,26.88,25.4,25.93,25.58,25.02,24.76,27.64,7.47,6.48,6.23,3.53,7.08,6.85,4.48,3.89,6.99,3.8,3.76,7.78
T2M_MAX,2006,24.63,24.7,25.6,27.34,27.18,25.77,25.5,25.5,26.49,26.36,25.23,24.74,27.34,3.34,8.09,8.74,6.13,7.47,8.28,4.89,8.93,6.97,6.93,8.26,6.32
T2M_MAX,2007,24.02,25.84,27.7,28.98,27.16,26.33,25.17,25.44,25.92,24.73,24.3,24.05,28.98,8.96,4.02,3.17,3.77,4.97,6.02,7.06,3.55,3.78,6.28,4.64,6.87
T2M_MAX,2008,23.53,24.48,25.43,26.57,27.67,25.94,24.83,25.46,26.58,25.19,25.15,24.51,27.67,8.08,6.02,3.96,7.61,8.3,6.13,6.92,8.03,3.06,5.96,6.96,8.28
T2M_MAX,2009,23.59,24.27,26.19,27.03,28.07,26.11,26.18,26.12,27.01,26.33,24.77,25.53,28.07,3.99,3.08,6.17,3.62,3.46,7.81,3.67,3.59,4.81,7.04,6.61,3.7
T2M_MAX,2010,25.14,26.46,28.47,29.68,26.94,26.93,26.08,26.51,25.03,25.31,24.75,23.74,29.68,8.46,6.14,6.47,5.74,5.7,8.07,6.41,4.85,4.31,5.91,3.39,3.61
T2M_MAX,2011,24.33,24.9,27.51,28.87,29.62,27.72,25.88,26.51,25.56,25.68,24.62,23.87,29.62,7.12,5.99,5.66,3.9,8.06,8.3,6.91,4.02,3.0,6.98,6.83,3.49
T2M_MAX,2012,23.34,24.16,26.94,27.59,27.95,26.95,25.4,26.68,26.22,25.17,25.09,25.17,27.95,7.67,8.71,3.1,6.91,7.11,4.41,4.37,6.9,4.83,3.57,6.93,7.42
T2M_MAX,2013,24.39,26.18,29.11,27.93,28.31,25.77,24.95,25.94,26.11,25.44,25.49,24.51,29.11,7.77,5.81,8.48,3.72,8.06,4.06,5.53,5.69,4.93,6.28,8.85,8.85
T2M_MAX,2014,23.97,26.07,27.14,29.0,27.37,26.5,25.46,26.07,25.26,25.85,25.58,24.86,29.0,3.02,4.51,4.43,4.81,3.29,7.6,7.09,8.73,8.94,4.01,3.19,3.55
T2M_MAX,2015,24.04,24.87,26.38,28.75,26.83,27.05,25.82,26.46,26.37,26.93,25.73,25.43,28.75,5.85,4.67,7.44,3.51,6.72,6.98,4.22,7.24,5.66,4.34,7.6,4.31
T2M_MAX,2016,25.35,26.51,30.08,29.72,29.78,26.79,25.2,26.33,25.96,26.05,25.63,24.82,30.08,7.18,4.61,5.83,8.31,6.98,5.7,5.49,8.55,5.6,7.64,3.83,8.09
T2M_MAX,2017,24.67,26.02,28.1,28.42,27.08,26.24,25.32,26.81,26.56,25.95,25.73,25.16,28.42,3.23,6.71,6.72,5.56,3.44,4.89,6.24,4.54,4.3,6.42,5.45,7.5
T2M_MAX,2018,23.96,23.58,26.57,26.71,27.24,26.22,25.53,25.81,26.05,26.69,25.69,24.99,27.24,6.45,8.6,4.06,4.12,3.01,5.6,6.48,5.94,4.85,3.38,6.76,3.61
T2M_MAX,2019,25.95,28.68,27.81,29.62,27.74,26.28,26.21,26.22,26.44,25.66,25.17,24.73,29.62,4.21,4.49,6.42,5.12,7.87,7.2,7.07,5.06,6.57,5.1,5.19,5.07
T2M_MAX,2020,24.93,25.54,27.16,28.54,28.0,26.39,25.75,27.24,26.1,25.92,26.19,24.26,28.54,6.62,7.78,6.02,8.4,4.86,3.48,5.18,4.46,4.2,6.3,3.33,7.76
T2M_MAX,2021,24.24,25.43,26.89,26.94,27.07,25.98,25.91,25.09,26.4,26.15,25.94,24.62,27.07,6.16,4.94,5.13,8.77,6.63,6.49,8.97,3.49,6.87,6.26,3.88,7.62
T2M_MAX,2022,24.56,24.92,27.35,27.35,27.06,26.71,25.66,26.22,26.33,25.53,25.67,24.12,27.35,8.37,5.39,4.92,8.91,8.72,6.95,8.33,4.13,4.96,6.58,5.13,5.56
T2M_MAX,2023,23.81,25.5,26.88,29.09,28.39,27.36,26.35,27.28,26.95,26.68,26.1,25.7,29.09,8.36,5.42,7.8,5.53,3.17,7.0,6.75,4.58,6.72,6.93,8.87,8.76
T2M_MAX,2024,25.79,26.77,30.59,29.97,29.0,26.71,26.2,26.39,27.05,26.76,25.46,24.69,30.59,4.96,4.73,7.16,3.37,4.31,6.74,8.09,6.82,4.35,7.51,3.65,8.16
T2M_MAX,2025,24.42,26.03,27.44,27.01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4.83,7.12,3.2,8.81,4.46,6.52,6.64,3.54,3.9,8.97,4.68,4.66
T2M_MIN,1981,14.19,14.68,12.66,16.23,15.97,14.92,15.16,15.54,14.75,13.65,14.72,14.84,12.66,3.11,4.99,3.45,5.54,3.75,5.02,5.83,5.39,4.88,3.23,5.1,4.46
T2M_MIN,1982,14.02,14.09,13.69,14.33,15.17,15.44,14.31,14.83,15.9,13.64,14.12,14.36,13.64,8.5,8.62,7.93,8.41,7.75,4.72,8.91,7.65,3.27,8.5,4.68,4.83
T2M_MIN,1983,15.75,14.86,15.2,15.01,15.63,16.1,15.55,14.75,13.83,13.35,14.96,14.31,13.35,7.15,8.16,6.54,6.61,3.64,6.19,7.61,8.76,3.26,5.75,7.76,6.91
T2M_MIN,1984,13.14,13.49,14.07,13.6,15.48,14.3,14.05,15.13,15.22,14.87,12.75,15.3,12.75,4.33,4.76,7.6,4.53,3.14,7.42,6.02,5.91,3.72,6.38,8.55,7.19
T2M_MIN,1985,14.37,13.8,14.28,14.87,14.49,14.86,14.08,13.08,14.88,14.58,14.97,13.74,13.08,8.41,4.12,4.88,3.57,6.58,4.53,5.67,4.39,3.77,6.51,5.24,5.68
T2M_MIN,1986,14.73,11.92,12.49,16.23,15.96,15.84,14.82,15.09,14.82,14.16,14.42,13.29,11.92,3.68,3.49,3.24,7.44,6.21,6.3,5.4,7.13,4.19,8.14,5.45,7.52
T2M_MIN,1987,14.11,15.17,12.08,14.74,16.69,14.44,15.09,15.35,14.19,15.72,15.63,14.87,12.08,5.47,6.82,5.58,7.83,3.85,4.16,5.01,4.63,5.73,3.51,5.18,6.27
T2M_MIN,1988,12.39,15.32,14.63,15.43,16.06,15.51,14.92,15.46,15.45,14.38,14.72,15.93,12.39,6.41,3.77,8.23,4.38,3.65,6.32,4.62,8.69,3.7,6.88,7.38,6.87
T2M_MIN,1989,15.66,14.76,13.31,15.21,16.76,15.64,14.62,15.52,14.44,14.77,15.3,13.8,13.31,4.45,3.46,5.9,6.08,3.73,6.22,5.49,4.04,8.5,7.32,6.65,6.34
T2M_MIN,1990,15.6,14.64,12.49,13.27,17.13,16.39,15.03,14.74,15.8,15.52,14.9,15.24,12.49,6.82,4.1,8.47,3.93,5.43,4.49,6.45,8.87,4.68,5.15,7.09,7.0
T2M_MIN,1991,13.41,14.35,14.14,14.6,15.83,15.16,14.23,14.69,16.4,15.0,13.81,14.8,13.41,8.73,8.12,3.33,6.26,3.05,6.77,8.89,7.17,3.25,5.19,3.48,3.49
T2M_MIN,1992,14.23,14.02,13.79,15.43,15.18,16.89,14.9,16.22,15.44,14.68,15.47,14.89,13.79,8.23,3.19,6.97,3.67,5.15,8.69,5.2,4.21,4.19,7.82,7.46,4.33
T2M_MIN,1993,14.62,14.69,12.18,15.86,17.4,16.97,16.37,16.55,16.12,15.6,15.52,15.4,12.18,5.26,6.1,5.64,7.68,3.08,6.46,8.45,8.12,7.89,4.21,7.64,8.02
T2M_MIN,1994,14.49,14.72,13.4,15.02,16.15,16.61,16.69,15.83,15.83,15.97,14.88,13.47,13.4,4.87,3.23,6.89,4.7,6.9,4.03,8.65,3.7,5.15,8.31,6.11,7.73
T2M_MIN,1995,14.46,13.79,13.42,16.09,16.52,16.6,14.82,16.95,16.18,16.89,15.93,14.62,13.42,4.75,4.85,5.89,4.03,7.03,4.37,4.86,4.53,5.32,5.21,8.3,5.87
T2M_MIN,1996,14.18,13.42,13.53,15.04,17.32,16.17,15.79,14.9,15.37,16.75,15.0,15.53,13.42,3.45,8.32,5.43,6.55,4.02,7.03,6.54,6.65,4.42,5.34,4.12,5.55
T2M_MIN,1997,12.68,15.13,14.13,14.48,15.83,14.7,17.22,16.45,15.56,16.97,16.48,14.09,12.68,4.91,7.18,7.73,3.29,6.71,4.44,5.15,6.09,6.85,8.97,4.63,3.46
T2M_MIN,1998,14.45,15.61,15.82,16.09,16.67,17.6,16.24,15.31,16.23,18.14,14.8,16.43,14.45,8.86,8.2,4.69,8.49,3.33,8.33,6.45,5.23,3.8,8.88,6.11,5.41
T2M_MIN,1999,13.83,14.38,13.65,13.81,16.3,15.44,15.13,15.18,16.66,16.09,15.38,14.69,13.65,8.05,3.41,6.52,4.93,6.29,3.54,7.71,6.31,6.28,6.81,3.62,6.71
T2M_MIN,2000,14.42,14.62,14.94,14.8,16.69,14.7,16.19,15.24,16.22,15.19,14.26,13.87,13.87,6.42,7.38,7.81,5.12,4.0,7.22,7.92,8.81,3.74,4.96,5.05,3.31
T2M_MIN,2001,13.56,14.77,13.49,15.64,16.32,16.61,14.54,16.6,16.23,16.6,14.35,14.59,13.49,5.18,4.93,7.54,4.73,6.57,3.2,3.39,4.2,4.01,8.3,6.59,4.81
T2M_MIN,2002,13.97,15.03,15.03,14.4,16.32,17.28,16.39,14.9,15.62,15.87,15.44,14.28,13.97,7.58,8.76,5.36,6.32,6.32,4.35,4.8,3.55,7.05,4.63,3.74,4.03
T2M_MIN,2003,14.72,14.67,14.33,14.76,15.88,16.44,15.89,15.99,15.12,16.94,15.76,15.17,14.33,6.26,3.66,6.63,6.69,6.46,6.63,4.42,4.04,3.09,8.16,4.08,4.71
T2M_MIN,2004,14.3,14.25,16.35,15.61,17.47,16.03,15.22,17.04,15.37,15.78,13.22,14.97,13.22,6.2,3.23,8.44,4.68,4.32,8.69,5.61,5.68,6.57,6.41,4.28,7.45
T2M_MIN,2005,14.42,13.7,14.77,14.39,16.94,17.39,16.8,16.56,16.37,17.65,14.45,12.42,12.42,7.2,7.69,4.0,6.7,7.79,7.66,3.45,6.74,8.66,3.79,8.74,5.48
T2M_MIN,2006,13.8,14.61,14.48,14.59,15.14,16.38,15.29,16.53,15.85,15.73,14.09,15.84,13.8,4.79,6.84,6.77,6.28,8.37,4.96,4.52,5.86,5.01,4.46,6.49,8.84
T2M_MIN,2007,16.38,14.22,15.36,14.69,17.21,16.56,15.52,16.23,16.02,15.6,15.82,12.76,12.76,3.69,6.62,3.84,5.89,4.14,8.29,4.66,6.11,6.88,5.56,7.49,8.02
T2M_MIN,2008,12.38,13.61,14.49,14.34,15.44,17.16,15.88,16.77,14.85,16.9,14.99,14.88,12.38,7.98,5.26,3.43,6.29,7.97,3.84,8.65,8.38,6.47,4.77,8.01,8.97
T2M_MIN,2009,15.55,14.31,13.92,15.26,16.78,16.94,16.89,15.96,16.35,15.79,15.52,16.12,13.92,6.48,3.52,4.58,7.53,5.76,6.88,4.88,7.93,5.67,7.26,3.25,5.68
T2M_MIN,2010,15.08,15.19,14.71,14.84,17.57,15.91,15.88,17.07,16.93,16.13,14.27,13.49,13.49,4.86,8.85,6.6,5.88,3.34,6.13,7.13,6.6,3.22,5.93,5.85,5.32
T2M_MIN,2011,14.43,15.17,13.7,14.01,15.82,17.29,14.98,16.32,16.0,15.48,15.3,15.88,13.7,7.42,7.69,8.04,5.49,7.16,3.67,4.36,6.36,3.08,8.48,8.38,7.52
T2M_MIN,2012,14.89,13.92,13.67,14.21,16.58,16.02,15.07,14.59,15.31,15.61,16.05,14.78,13.67,8.98,5.07,3.94,8.45,8.06,3.33,3.58,4.21,3.17,8.21,4.72,5.51
T2M_MIN,2013,14.57,14.85,14.9,15.47,12.33,16.19,15.37,15.15,16.45,15.35,14.06,13.58,12.33,8.51,4.22,3.3,6.76,7.9,6.57,8.88,8.89,6.0,3.73,4.32,7.04
T2M_MIN,2014,14.38,14.15,14.74,15.57,15.67,15.62,17.23,15.34,15.44,16.01,15.46,13.97,13.97,8.79,8.92,5.91,6.35,7.3,8.07,3.51,5.84,5.85,5.82,3.98,6.31
T2M_MIN,2015,15.68,15.11,14.65,15.02,14.52,17.81,16.75,16.18,15.8,16.92,16.28,16.26,14.52,8.25,3.37,6.82,5.35,7.93,8.67,4.47,5.54,8.12,8.22,4.02,6.75
T2M_MIN,2016,15.01,15.34,15.79,15.6,16.06,16.08,16.15,16.73,15.9,15.86,15.53,15.44,15.01,5.44,7.53,5.23,6.08,7.56,8.14,8.45,7.54,8.65,3.77,5.23,3.43
T2M_MIN,2017,14.69,14.86,14.64,15.5,17.31,16.89,16.6,15.61,15.57,16.26,15.64,14.9,14.64,8.48,8.04,8.69,8.61,4.85,5.64,3.65,3.62,4.93,4.62,3.32,3.89
T2M_MIN,2018,15.68,14.58,13.65,14.37,15.34,14.39,16.22,16.04,16.66,16.08,15.37,15.61,13.65,5.19,6.66,6.9,5.4,5.63,8.15,5.75,5.79,6.72,5.28,8.36,5.79
T2M_MIN,2019,15.13,14.89,15.39,16.25,17.6,16.99,16.24,16.71,14.89,16.04,14.19,15.99,14.19,3.18,8.67,5.26,5.55,7.26,5.76,5.23,7.56,6.17,5.06,8.27,4.18
T2M_MIN,2020,16.08,13.96,15.73,15.52,17.21,15.56,14.07,14.97,14.82,16.48,16.56,13.57,13.57,3.23,3.49,3.9,8.26,6.1,8.0,7.89,6.54,3.83,4.11,3.66,7.07
T2M_MIN,2021,13.59,15.41,13.38,15.34,15.95,15.07,16.23,15.62,16.71,16.38,14.78,16.47,13.38,6.37,7.01,7.9,4.26,5.31,7.51,5.57,6.94,6.61,5.17,4.2,5.81
T2M_MIN,2022,15.2,12.54,14.26,15.8,16.22,15.3,16.29,15.27,16.89,16.11,15.34,15.47,12.54,3.5,8.79,5.12,4.61,7.71,4.59,5.04,5.49,6.55,4.53,8.83,5.66
T2M_MIN,2023,14.71,13.53,15.29,14.76,16.99,15.81,16.89,17.24,15.9,17.48,16.67,16.68,13.53,5.91,7.83,8.76,3.82,7.42,5.66,8.19,5.6,7.35,3.37,4.43,5.68
T2M_MIN,2024,15.93,13.93,14.21,14.95,16.76,17.71,16.85,17.28,17.87,17.47,16.24,16.22,13.93,6.36,8.26,8.13,5.65,4.33,6.35,4.56,3.32,7.81,5.19,5.57,5.09
T2M_MIN,2025,14.9,15.61,15.96,16.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,8.18,6.18,4.49,5.74,3.43,5.35,6.27,6.03,3.13,6.43,6.48,7.52
